subject,interactor,dprime,cresponse
0,0,0.8227,0.5215
0,1,0.2909,0.4353
0,2,1.0915,0.9287
1,0,3.0402,-0.5872
1,1,3.0775,-0.5826
1,2,2.6986,-0.2706
2,0,1.3756,-0.9321
2,1,1.1831,-0.5695
2,2,0.1042,-0.5815
3,0,2.5869,-0.8139
3,1,1.5541,-0.5779
3,2,1.3861,-0.3101
4,0,0.9686,0.5945
4,1,0.7337,0.566
4,2,0.7726,0.8658
5,0,1.5839,-0.2112
5,1,1.4477,-0.1431
5,2,1.326,-0.0822
6,0,2.3065,-0.9541
6,1,1.73,-0.7548
6,2,2.0413,-1.0867
7,0,1.7379,-0.486
7,1,1.0489,0.2802
7,2,1.8494,-0.2364
8,0,2.0028,-0.6185
8,1,2.4903,-0.8622
8,2,2.9119,-0.6514
9,0,2.0994,-0.5702
9,1,1.9973,0.2535
9,2,2.1595,-0.2752
11,0,2.1595,-0.2752
11,1,2.2006,-0.5195
11,2,2.1081,0.4204
12,0,2.872,-0.1839
12,1,1.7124,0.2226
12,2,1.824,0.1668
