,subj,exp,touch,dprime,cresponse
0,0,0,0,0.8250334718229848,0.16824134809705793
1,0,0,1,0.17826357543859372,-0.1551436000951376
2,1,0,0,1.5839060516710841,-0.21119494182699167
3,1,0,1,1.6715545815638437,-0.031180910421621688
4,2,0,0,1.7300185066066753,-0.7548470053349322
5,2,0,1,0.9862162578585688,-1.1267481297089854
6,3,0,0,2.9119409884675993,-0.6513741138734994
7,3,0,1,1.7300185066066753,-0.7548470053349322
8,4,0,0,1.771306467735476,-1.2216913742395612
9,4,0,1,1.5538444462624292,-0.8429340355070553
10,5,0,0,1.447716285212094,-0.14310005859749664
11,5,0,1,0.40917918486574206,-0.5406277328046942
12,6,0,0,1.0950567086058467,-0.613540166678764
13,6,0,1,0.7438022487481065,-0.2617388764056478
14,7,0,0,2.4776336228225047,0.23566884374871877
15,7,0,1,1.4335742061429912,-0.028430222166069608
16,8,0,0,1.9457024495675155,0.10589302358021419
17,8,0,1,1.414782388735795,0.37135305399607443
18,9,0,0,3.0402337813132694,-0.5872277174506644
19,9,0,1,2.0939576941876576,-0.11408967388785851
20,10,0,0,2.2175068560757047,-0.9985911800694468
21,10,0,1,0.3517859990516896,-1.1790409671883784
22,11,0,0,2.55274543184424,-0.3434835427161498
23,11,0,1,2.490297914232801,-0.8621956509908986
